#This annotation file adds bars which indicate the length of the viral genome.

DATASET_SIMPLEBAR

SEPARATOR TAB

DATASET_LABEL	Genome Length (KB)
NC_017864	42.844
NC_006882	45.176
NC_017865	42.966
NC_017732	30.505
NC_017702	32.023
NC_017698	31.772
NC_017696	32.384
NC_017695	32.582
NC_017688	32.414
NC_016899	21.592
NC_016763	43.221
NC_016770	47.159
NC_016767	60.714
NC_016766	69.42
NC_016765	54.024
NC_016764	40.058
NC_016762	49.135
NC_016761	38.684
NC_006940	40.793
NC_016655	51.342
NC_016654	39.474
NC_016653	46.586
NC_016652	49.33
NC_016651	14.27
NC_016650	48.072
NC_016659	47.536
NC_016658	47.741
NC_016657	47.055
NC_016656	45.89
NC_016569	46.14
NC_016570	157.304
NC_016571	284.757
NC_016568	24.645
NC_016565	18.168
NC_016563	156.897
NC_016562	132.662
NC_016567	81.184
NC_016566	44.077
NC_016564	95.299
NC_016071	145.964
NC_016435	65.766
NC_016434	65.839
NC_016166	74.431
NC_016163	262.391
NC_009993	53.746
NC_016165	39.283
NC_016164	30.332
NC_016161	38.013
NC_016160	36.661
NC_016158	49.576
NC_016073	157.95
NC_012743	62.715
NC_015933	72.917
NC_015938	89.916
NC_015937	151.483
NC_015585	43.032
NC_015721	23.931
NC_015720	45.53
NC_015719	40.94
NC_015569	178.563
NC_015568	41.09
NC_015464	135.041
NC_015209	10.638
NC_015466	62.668
NC_015465	33.004
NC_015463	72.332
NC_015457	165.919
NC_015456	50.661
NC_015454	29.074
NC_015453	29.017
NC_015254	41.518
NC_015295	47.279
NC_015293	30.651
NC_015292	84.565
NC_015274	56.506
NC_015273	32.317
NC_015270	16.945
NC_015266	40.555
NC_015265	37.236
NC_015263	114.768
NC_015253	127.065
NC_015252	36.953
NC_015296	157.061
NC_015290	182.18
NC_015289	176.184
NC_015288	191.195
NC_015287	232.878
NC_015286	175.23
NC_015285	174.285
NC_015284	183.806
NC_015283	176.428
NC_015282	174.079
NC_015281	179.563
NC_015280	181.044
NC_015279	190.789
NC_015271	38.368
NC_015269	118.351
NC_015264	40.973
NC_015262	37.664
NC_015251	235.229
NC_015250	159.801
NC_015249	39.27
NC_015210	61.44
NC_015208	39.562
NC_015159	39.162
NC_015158	49.675
NC_015157	125.956
NC_014900	40.986
NC_014901	59.23
NC_014792	169.285
NC_006884	178.249
NC_006883	252.401
NC_014663	169.947
NC_014662	165.54
NC_014661	164.093
NC_014660	167.716
NC_014636	225.268
NC_014635	163.875
NC_014595	170.605
NC_014460	41.207
NC_014467	176.788
NC_014457	59.199
NC_014321	17.666
NC_014260	172.253
NC_014229	37.068
NC_014099	16.622
NC_014036	174.436
NC_013649	43.809
NC_013936	52.141
NC_013758	8.082
NC_013691	74.901
NC_013693	158.006
NC_013697	157.486
NC_013692	72.544
NC_013698	58.652
NC_013696	42.822
NC_013643	36.27
NC_013644	37.856
NC_013645	34.882
NC_013646	38.764
NC_013647	41.119
NC_013648	39.576
NC_013651	38.497
NC_013638	43.144
NC_013594	37.235
NC_013600	45.169
NC_013599	36.674
NC_013598	35.525
NC_013597	43.97
NC_013588	17.602
NC_013587	15.684
NC_013585	24.186
NC_010811	231.255
NC_013197	17.036
NC_013195	40.761
NC_013152	29.459
NC_013155	32.182
NC_013154	28.625
NC_013153	28.643
NC_013085	194.454
NC_013059	40.975
NC_013055	39.896
NC_013021	107.53
NC_012884	31.147
NC_012788	41.441
NC_012784	44.492
NC_012756	31.276
NC_012753	37.184
NC_012749	88.487
NC_012742	44.08
NC_012741	171.451
NC_012740	166.418
NC_012697	74.611
NC_012696	73.325
NC_012663	60.074
NC_012662	43.931
NC_012638	165.429
NC_012635	168.394
NC_004462	19.604
NC_012558	7.048
NC_012530	142.111
NC_012419	21.115
NC_012418	43.152
NC_012027	69.378
NC_011976	43.016
NC_011811	84.576
NC_011802	41.941
NC_011801	38.934
NC_011810	65.764
NC_011756	66.39
NC_011703	66.235
NC_011646	34.952
NC_011645	37.456
NC_011613	36.632
NC_011611	36.885
NC_011614	42.526
NC_011612	45.344
NC_011589	40.287
NC_011534	39.472
NC_011551	39.867
NC_011523	14.398
NC_011421	132.562
NC_011398	50.93
NC_011373	46.872
NC_011357	62.147
NC_011356	54.896
NC_011344	47.342
NC_011318	38.753
NC_011308	35.638
NC_011289	58.578
NC_011287	58.554
NC_011292	68.952
NC_011288	58.471
NC_011285	64.618
NC_011290	64.807
NC_011291	47.057
NC_011271	155.372
NC_011267	49.487
NC_011270	154.906
NC_011272	153.894
NC_011273	164.602
NC_011222	44.929
NC_011216	37.635
NC_011217	15.33
NC_011201	43.079
NC_009811	137.619
NC_011167	53.104
NC_011166	66.53
NC_011165	64.427
NC_011142	47.453
NC_011104	39.989
NC_011107	42.961
NC_011105	42.954
NC_011103	60.195
NC_011055	76.312
NC_011056	75.811
NC_011054	58.037
NC_011048	19.282
NC_011041	137.947
NC_011039	70.11
NC_011044	69.904
NC_011038	38.677
NC_011043	41.181
NC_011045	38.841
NC_011042	39.252
NC_011040	39.816
NC_011046	29.305
NC_009737	35.055
NC_011023	52.892
NC_011021	51.478
NC_011019	53.572
NC_011020	50.968
NC_011022	51.621
NC_010945	39.136
NC_010821	316.674
NC_010807	38.815
NC_010808	44.342
NC_010583	111.382
NC_010576	55.597
NC_010537	41.172
NC_010237	63.395
NC_010495	45.051
NC_010179	40.881
NC_010363	18.762
NC_010355	62.337
NC_010353	35.543
NC_010342	39.245
NC_010326	43.548
NC_010325	45.625
NC_010324	77.554
NC_010154	38.179
NC_010153	36.895
NC_010152	39.577
NC_010155	40.449
NC_008296	177.3
NC_010147	43.011
NC_010116	58.663
NC_010105	170.523
NC_010106	52.975
NC_009990	37.313
NC_009986	15.135
NC_009965	24.655
NC_001421	14.927
NC_009542	33.985
NC_009936	41.593
NC_009935	43.2
NC_003214	40.9
NC_009904	142.072
NC_009884	31.787
NC_009818	36.409
NC_009878	52.25
NC_009877	51.277
NC_009875	17.938
NC_009815	38.124
NC_009814	35.822
NC_009813	48.172
NC_009812	42.653
NC_009810	38.867
NC_009821	164.27
NC_009820	58.692
NC_009819	40.539
NC_009817	79.232
NC_009816	70.579
NC_009804	83.319
NC_009803	84.201
NC_009760	218.948
NC_007804	39.104
NC_009643	17.171
NC_009604	47.382
NC_009603	46.365
NC_009597	18.098
NC_009554	34.659
NC_009551	43.249
NC_009235	48.674
NC_009540	49.902
NC_009543	44.52
NC_009541	29.739
NC_009531	46.214
NC_009526	43.864
NC_009514	47.021
NC_009452	23.814
NC_009447	52.414
NC_009382	38.76
NC_009237	37.446
NC_009234	35.741
NC_009236	36.69
NC_009231	56.538
NC_009018	38.528
NC_009015	72.415
NC_009016	38.197
NC_009014	45.445
NC_008376	34.683
NC_008799	43.282
NC_008798	43.265
NC_008723	44.041
NC_008722	43.42
NC_008717	36.415
NC_008720	70.153
NC_008695	42.271
NC_008694	38.564
NC_008689	44.857
NC_008617	44.061
NC_008583	43.128
NC_008584	152.372
NC_007145	37.639
NC_008562	162.109
NC_008515	165.89
NC_008464	60.238
NC_008371	27.453
NC_008370	30.51
NC_008367	40.938
NC_008364	26.537
NC_004166	44.01
NC_008265	38.092
NC_008198	64.494
NC_008200	64.787
NC_008205	56.692
NC_008199	69.059
NC_008204	67.188
NC_008207	153.766
NC_008203	52.047
NC_008195	70.654
NC_008196	56.852
NC_008197	68.427
NC_008193	30.505
NC_008194	74.483
NC_008208	161.475
NC_008201	34.525
NC_008152	44.385
NC_007967	38.194
NC_005083	244.834
NC_005091	57.455
NC_007917	53.325
NC_007924	38.239
NC_007918	16.067
NC_007914	14.462
NC_007902	52.162
NC_007810	66.015
NC_007809	59.446
NC_007808	49.639
NC_007807	43.365
NC_007806	42.999
NC_007805	39.199
NC_007814	37.974
NC_007734	40.867
NC_007710	46.643
NC_007709	43.785
NC_007637	45.251
NC_007623	211.215
NC_007610	131.384
NC_007603	46.219
NC_007581	185.683
NC_007501	36.466
NC_007497	44.856
NC_007451	14.954
NC_007456	39.704
NC_007458	37.253
NC_006356	36.012
NC_007409	62.73
NC_005886	47.399
NC_007291	46.072
NC_007217	30.889
NC_007149	39.503
NC_007064	42.431
NC_007063	43.231
NC_007062	41.69
NC_007061	42.802
NC_007060	41.902
NC_007059	43.114
NC_007058	43.155
NC_007057	43.576
NC_007056	45.286
NC_007055	43.681
NC_007054	44.777
NC_007053	43.095
NC_007052	45.861
NC_007051	41.318
NC_007049	43.883
NC_007048	42.732
NC_007047	39.62
NC_007046	18.199
NC_007045	15.603
NC_007066	138.715
NC_007050	44.283
NC_007065	43.44
NC_007024	55.77
NC_007022	172.963
NC_007019	34.704
NC_007023	180.5
NC_007021	130.706
NC_006953	37.966
NC_006949	46.9
NC_006945	14.844
NC_006936	36.674
NC_006820	196.28
NC_006557	41.092
NC_006565	131.522
NC_006556	20.933
NC_006552	65.195
NC_006548	38.439
NC_005345	49.22
NC_006268	75.294
NC_002371	41.724
NC_005885	58.638
NC_005893	39.166
NC_005887	42.415
NC_005884	43.783
NC_005892	17.663
NC_005882	36.748
NC_005891	39.786
NC_005879	39.853
NC_005342	48.024
NC_004333	48.247
NC_005263	48.177
NC_005872	28.337
NC_002661	42.942
NC_005857	51.601
NC_005859	121.75
NC_005856	94.8
NC_005841	41.391
NC_005833	48.836
NC_005830	20.869
NC_005822	32.172
NC_005361	17.385
NC_005360	16.473
NC_005356	41.708
NC_005357	42.493
NC_005354	38.384
NC_005355	40.19
NC_005340	30.636
NC_005344	39.043
NC_004664	41.831
NC_004466	45.503
NC_005294	42.935
NC_005284	54.865
NC_005282	86.155
NC_005258	14.935
NC_005260	233.234
NC_005265	14.796
NC_005259	68.999
NC_005178	37.611
NC_005135	173.591
NC_005069	46.339
NC_005066	164.018
NC_005056	32.684
NC_005045	42.519
NC_004996	34.692
NC_004928	167.56
NC_004902	44.373
NC_004831	43.769
NC_004827	43.033
NC_004814	16.687
NC_004813	57.93
NC_004777	37.555
NC_004746	36.596
NC_004745	30.728
NC_004735	129.908
NC_003291	37.618
NC_004689	70.797
NC_004688	110.865
NC_004687	156.102
NC_004685	69.777
NC_004684	67.48
NC_004683	57.05
NC_004681	75.931
NC_004680	59.471
NC_004679	18.227
NC_004678	16.784
NC_004665	37.359
NC_000866	168.903
NC_002072	34.815
NC_004629	280.334
NC_004617	42.722
NC_004616	44.97
NC_004615	43.604
NC_004456	43.198
NC_003907	46.012
NC_003050	40.248
NC_004348	40.679
NC_004313	40.149
NC_004303	43.075
NC_004305	42.259
NC_004165	18.63
NC_004167	39.325
NC_004112	43.411
NC_004086	35.45
NC_004087	32.308
NC_004084	58.498
NC_004066	36.798
NC_003524	33.507
NC_003444	37.074
NC_003387	52.797
NC_003356	42.575
NC_003324	57.416
NC_003315	31.508
NC_003309	53.373
NC_003313	33.106
NC_003298	38.208
NC_003288	43.081
NC_003278	35.58
NC_003216	40.834
NC_003158	16.341
NC_003085	49.534
NC_002796	40.003
NC_002747	37.667
NC_002730	38.297
NC_002703	38.347
NC_002671	15.179
NC_002669	14.957
NC_002668	36.949
NC_002667	41.834
NC_002666	35.538
NC_002670	14.51
NC_002656	50.55
NC_002649	21.129
NC_002519	39.898
NC_002515	11.66
NC_002486	45.636
NC_002321	41.401
NC_002214	39.807
NC_002185	35.466
NC_002167	39.732
NC_002166	40.751
NC_001317	30.624
NC_001271	39.6
NC_000935	36.524
NC_000929	36.717
NC_000902	60.942
NC_000896	43.785
NC_000872	40.739
NC_000871	37.37
NC_000867	10.079
NC_000924	61.67
NC_001942	15.644
NC_001909	31.754
NC_001902	26.111
NC_001901	46.375
NC_001900	49.136
NC_001895	33.593
NC_001884	134.416
NC_001825	19.343
NC_001706	22.172
NC_001697	32.355
NC_001629	22.195
NC_001609	11.624
NC_001604	39.937
NC_001447	11.965
NC_001423	19.366
NC_001416	48.502
NC_001338	15.465
NC_001335	52.297
LC597490	229.829
NC_051739	50.513
NC_051738	50.415
NC_051730	46.561
NC_051729	49.075
NC_051728	48.783
NC_051727	48.399
NC_051724	55.307
NC_051723	54.814
NC_051722	57.437
NC_051721	55.178
NC_051720	58.079
NC_051719	58.608
NC_051718	59.093
NC_051717	54.513
NC_051716	56.147
NC_051715	56.275
NC_051714	58.93
NC_051713	59.346
NC_051712	59.357
NC_051711	55.735
NC_051710	58.604
NC_051709	56.335
NC_051708	58.618
NC_051707	55.094
NC_051706	59.54
NC_051705	57.356
NC_051704	57.789
NC_051703	57.526
NC_051702	58.23
NC_051701	58.397
NC_051700	58.758
NC_051699	58.666
NC_051698	56.663
NC_051697	57.703
NC_051696	56.125
NC_051695	56.515
NC_051694	58.297
NC_051693	57.159
NC_051692	56.867
NC_051691	58.009
NC_051690	54.857
NC_051689	55.767
NC_051688	57.599
NC_051687	57.984
NC_051686	57.455
NC_051685	59.268
NC_051684	58.027
NC_051683	58.106
NC_051682	54.356
NC_051681	58.074
NC_051680	57.001
NC_051679	55.945
NC_051678	58.423
NC_051677	55.149
NC_051676	58.701
NC_051675	53.058
NC_051674	54.118
NC_051673	60.3
NC_051672	60.19
NC_051671	56.502
NC_051670	56.726
NC_051669	58.962
NC_051668	55.471
NC_051667	61.276
NC_051666	57.346
NC_051665	58.731
NC_051664	57.955
NC_051663	57.754
NC_051662	54.974
NC_051661	57.861
NC_051660	57.036
NC_051659	57.663
NC_051658	58.166
NC_051657	59.306
NC_051656	60.228
NC_051655	54.687
NC_051654	57.155
NC_051653	56.418
NC_051652	59.482
NC_051651	58.15
NC_051650	58.368
NC_051649	58.397
NC_051648	59.478
NC_051647	57.797
NC_051646	56.827
NC_051645	55.422
NC_051644	57.693
NC_051643	55.727
NC_051642	55.189
NC_051641	54.685
NC_051640	53.123
NC_051639	58.098
NC_051638	57.647
NC_051637	60.222
NC_051636	59.815
NC_051635	58.824
NC_051634	57.737
NC_051633	58.569
NC_051632	57.734
NC_051631	59.969
NC_051630	60.757
NC_051629	62.192
NC_051628	60.526
NC_051627	61.882
NC_051626	60.311
NC_051625	60.989
NC_051624	62.293
NC_051623	61.464
NC_051622	62.153
NC_051621	60.143
NC_051620	60.934
NC_051619	62.558
NC_051618	61.222
NC_051617	62.067
NC_051616	60.746
NC_051615	60.494
NC_051614	59.947
NC_051613	56.439
NC_051612	57.034
NC_051611	60.031
NC_051610	59.646
NC_051609	61.945
NC_051608	61.772
NC_051607	61.594
NC_051606	61.761
NC_051605	62.236
NC_051604	61.318
NC_051603	61.027
NC_051602	60.618
NC_051601	60.321
NC_051600	57.666
NC_051599	61.208
NC_051598	58.15
NC_051597	63.874
NC_051596	59.925
NC_051595	61.535
NC_051594	61.808
NC_051593	61.395
NC_051592	54.611
NC_051591	58.39
NC_051590	58.678
NC_051589	58.899
NC_051588	60.43
NC_051587	69.867
NC_051586	69.897
NC_051585	72.217
NC_051584	70.992
NC_051583	69.448
NC_051582	71.552
NC_051581	70.668
NC_051580	69.471
NC_049456	75.873
NC_047801	40.995
NC_047797	40.751
NC_049497	160.4
NC_049496	158.892
NC_049495	158.087
NC_049344	37.583
NC_049343	33.041
NC_049342	39.179
NC_049341	31.194
NC_048630	45.035
NC_048647	146.203
NC_048201	40.242
NC_048135	39.767
NC_047980	40.578
NC_047938	51.811
NC_047896	41.567
NC_047856	44.911
NC_043767	67.324
NC_042135	38.232
NC_042115	58.139
NC_042013	490.38
NC_041919	168.188
NC_041851	37.374
NC_029119	127.726
MG835568	40.945
MT740730	55.171
CP063968	52.215
CP063964	35.258
MN854830	141.52
MW341595	164.878
MW117144	40.977
MW250641	43.394
MT497273	79.77
MT497272	80.655
MT497271	80.423
MT497270	80.655
MT497269	80.556
MT497268	80.348
MT497267	80.447
MT497266	80.556
MT497265	80.348
MT497264	80.556
MT497263	80.435
MT497262	80.333
MT497261	80.394
MT497260	80.655
MT497259	80.447
MT497258	80.378
MT497257	80.447
MT497256	80.347
MT497255	80.447
MT497254	80.616
MT497253	80.556
MT497252	80.447
MT497251	80.446
MT497250	80.556
MT497249	80.447
MT497248	80.447
MT497247	80.556
MT497246	80.348
MT497245	80.655
MT497244	80.348
MT497243	80.347
MT497242	80.655
MT497241	80.556
MT497240	80.348
MT497239	80.556
MT497238	80.447
MT497237	80.561
MT497236	80.562
MT497235	80.348
MT497234	80.348
MT497233	80.556
MT497232	80.556
MT497231	80.556
MT497230	80.28
MT497229	80.556
MT497017	61.691
MT416090	73.308
MT901800	6.608
MW353181	52.849
LC567842	46.1
LC567841	90.031
LC567840	48.297
LC567839	44.438
LC567838	46.305
LC567837	49.002
LC567836	43.789
LC567835	49.808
LC567834	89.439
LC567833	49.929
LC567832	44.479
LC567831	49.937
LC567830	45.909
LC567829	48.694
LC567828	45.811
LC567827	49.396
LC567826	44.349
LC567825	49.243
LC567824	93.786
LC567823	49.399
LC567822	44.35
LC567821	49.422
LC567820	89.85
LC567819	49.573
LC567818	89.855
LC545446	43.03
LC545445	43.03
LC545444	40.036
LC545443	40.465
MW314859	51.185
MW314858	59.055
MW314857	40.735
MW314856	60.512
MW314855	60.535
MW314854	54.877
MW314853	40.005
MW314852	52.563
MW314851	40.45
MW314850	59.21
MW314849	55.006
MW314848	43.603
MW314847	61.476
MW314846	111.628
MW314845	71.455
MW238767	42.338
MW321655	16.915
MW175414	71.429
MW032477	31.042
MW041640	30.272
MW041639	30.299
MW041638	29.705
MW041637	29.126
MW041636	30.86
MW041635	29.166
MW041634	29.2
MW041633	30.766
MW041632	28.969
MW291028	41.876
MW291027	45.614
MW291026	41.538
MW291025	56.083
MW291024	75.782
MW291023	76.859
MW291022	59.457
MW291021	186.386
MW291020	17.527
MW291019	51.808
MW291018	53.904
MW291017	93.606
MW291016	54.168
MW291015	49.775
MW291014	130.258
MW291013	46.221
MW291012	156.08
MT901799	6.801
MT901798	6.651
MT901797	6.646
MT497279	80.447
MT497278	81.257
MT497277	80.342
MT497276	80.655
MT497275	80.447
MT497274	80.655
MT497228	80.556
MT497227	80.348
MT497226	80.168
MT497225	80.348
MT497224	80.441
MT497125	60.073
MT497124	60.073
MT497123	60.873
MT497122	60.073
MT497121	60.073
MT497120	60.073
MT497119	60.073
MT497118	60.104
MT497117	60.073
MT497116	60.873
MT497115	60.073
MT497114	60.064
MT497113	60.073
MT497112	60.086
MT497111	60.085
MT497110	60.073
MT497109	60.073
MT497108	60.073
MT497107	60.198
MT497106	60.073
MT497105	60.466
MT497104	60.073
MT497103	60.073
MT497102	60.073
MT497101	60.073
MT497100	60.073
MT497099	60.073
MT497098	60.162
MT497097	61.11
MT497096	60.073
MT497095	60.073
MT497094	60.073
MT497093	60.073
MT497092	60.073
MT497091	60.393
MT497090	60.073
MT497089	60.073
MT497088	60.073
MT497087	60.071
MT497086	60.073
MT497085	60.073
MT497084	60.073
MT497083	60.377
MT497082	60.073
MT497081	60.093
MT497080	60.768
MT497079	60.073
MT497078	59.743
MT497077	60.073
MT497076	60.073
MT497075	60.061
MT497074	60.073
MT497073	60.95
MT497072	59.979
MT497071	59.846
MT497070	60.601
MT497069	60.073
MT497068	60.925
MT497067	61.048
MT497066	60.458
MT497065	61.11
MT310858	53.261
MT225101	61.072
MH973725	45.796
MH979674	43.446
MK170160	101.77
MN508615	75.007
MN812691	73.737
MN812687	73.752
MW057862	22.938
MT708544	46.322
MT366762	154.046
MT366761	194.8
MT366760	207.758
MT413450	66.002
MT986025	67.176
MT889393	67.175
MT498043	49.118
KY742649	54.836
NC_051740	49.808
NC_051737	47.612
NC_051736	46.732
NC_051735	45.68
NC_051734	46.484
NC_051733	47.229
NC_051732	48.699
NC_051731	48.424
NC_051726	43.511
NC_051725	50.832
MW057861	57.986
MW004545	145.199
MT427400	49.939
MT984581	168.908
MW206381	111.639
MT680615	44.305
MW006482	86.886
MW006481	111.684
MW006480	158.116
MW006479	110.015
MW006478	109.645
MW006477	141.829
MW006476	157.2
MW006475	85.84
MW006474	87.369
MW082584	173.061
MW082583	39.799
MW149275	109.695
MW149274	172.418
MW149273	106.178
MW149272	58.922
NC_041920	170.254
MT899504	45.509
MT682391	41.506
MT682390	42.01
MT682389	41.707
MT682388	41.639
MT682387	41.676
MT682386	41.721
NC_047883	41.73
LC596379	143.4
LC596378	143.28
LC596377	143.399
NC_048167	43.264
NC_027368	33.828
MH172264	40.337
MH172263	40.54
MH172262	41.161
MH172261	40.635
KX349323	175.559
KX349313	175.557
KX349310	174.67
KJ019091	196.842
KJ019058	223.27
KJ019052	216.628
MT647606	141.461
MT647605	33.623
MT740315	39.195
MT740314	143.61
MT764208	165.295
MT764207	52.936
MT764206	170.34
MT375531	41.069
MT375530	41.529
MT375529	48.659
MT375528	41.529
MT375527	41.069
MT375526	41.069
MT375525	34.916
MT375524	37.857
MT375523	38.005
MT375522	38.624
MT375521	39.638
MT375520	41.069
MT375519	18.297
MK202161	34.785
MK202160	31.974
MK202159	33.245
KY250035	40.995
KY124276	40.751
MT857002	161.337
MT710307	239.626
MT553344	44.904
MT553335	154.852
MT310882	57.99
MT310860	62.067
MT310859	62.153
MT310850	57.731
MT114160	76.057
MT024866	48.399
MN945905	77.221
MN945904	58.678
MN945901	61.027
MN908693	61.856
MN908692	59.308
MN908691	92.498
MN908683	47.915
MK290739	40.227
MN892486	48.916
MN892485	54.102
MN892484	48.222
MN735434	156.17
MN807250	48.222
MN807249	48.783
MN807248	48.213
MN813694	47.713
MN703410	74.937
MN703406	75.383
MN586031	53.622
MN586055	46.219
MN586052	75.952
MN586047	58.844
MN586030	68.102
MN586029	111.74
MN586028	59.761
MN586026	59.268
MN586025	56.443
MN586024	81.039
MN586023	74.365
MN586022	91.072
MN586021	70.671
MN586018	74.01
MN586003	68.155
MN585996	60.531
MN585988	59.746
MN585982	61.623
MN585977	49.075
MN585971	60.278
MN585963	49.767
MN369766	66.184
MN369762	57.666
MN369761	57.802
MN369758	59.58
MN369753	66.184
MN369746	59.708
MN369742	59.709
MN369740	47.896
MN444874	77.514
MN444870	75.606
MN617841	68.021
MN602268	149.582
MN602267	70.044
MN602266	75.087
MN484601	115.454
MN428066	155.116
MN428065	154.918
MN428063	64.714
MN428061	64.931
MN428057	47.306
MN428056	64.817
MN428055	53.155
MN428048	48.198
MN284904	59.727
MN284896	60.978
MN284895	61.464
MN329676	64.824
MN329674	65.404
MN329673	59.449
MN234236	48.053
MN234232	67.485
MN234231	59.687
MN234230	59.556
MN234228	77.876
MN234226	61.222
MN234220	67.813
MN234218	47.68
MN234207	66.892
MN234205	59.734
MN234201	60.974
MN234199	61.772
MN234198	59.969
MN234197	59.462
MN234196	61.098
MN234195	48.54
MN234193	155.68
MN234190	67.785
MN234187	77.566
MN234182	59.818
MN234179	50.87
MN234176	62.192
MN234174	61.284
MN234172	50.415
MN234165	60.757
MN234162	67.605
MN276192	154.512
MN204501	61.544
MK894436	114.22
MN183286	111.437
MN183285	156.223
MN183280	156.412
MN062715	50.531
MN062707	153.739
MN062704	54
MN062701	111.843
MH479927	53.431
MH479912	53.407
MK967402	110.439
MK967390	77.394
MK967389	49.894
MK967378	75.943
MK967379	113.067
MN096382	73.721
MN096380	76.734
MN096377	75.632
MN096374	64.259
MN096370	57.508
MN096365	51.5
MN096363	81.488
MN096358	62.439
MN096357	61.09
MN096356	48.822
MN096355	50.513
MK937612	81.071
MK937611	61.248
MK937609	47.735
MK937607	61.219
MK937604	46.263
MK937600	76.414
MK937599	45.736
MK937597	56.875
MN010762	48.512
MN010761	60.899
MN010757	46.896
MK919483	50.338
MK919481	73.414
MK919480	47.094
MK919477	73.453
MK919470	48.015
MK919469	51.668
MK977708	42.396
MK977704	55.939
MK977699	67.311
MK801734	47.863
MK801729	47.716
MK801728	75.158
MK801727	53.453
MK801725	61.89
MK801724	52.042
MK878903	73.626
MK878902	54.241
MK878901	46.095
MK878900	75.617
MK878898	50.337
MK878897	155.713
MK878896	50.867
MK977705	90.669
MK820642	49.78
MK820641	51.094
MK820639	47.229
MK875797	46.221
MK875796	50.32
MK875793	53.6
MK814758	45.68
MK814755	50.337
MK814752	54.534
MK814750	41.454
MK757446	71.39
MK524521	111.345
MK494123	64.824
MK494132	60.656
MK494131	61.415
MK494122	48.424
MK494121	73.594
MK494119	60.989
MK494114	61.547
MK494109	73.885
MK494106	73.38
MK494100	73.871
MK494098	75.345
MK494092	73.21
MK494089	42.596
MK524529	114.32
MK524528	42.594
MK524522	42.595
MK524520	42.597
MK524518	43.7
MK524516	110.636
MK524515	43.7
MK524509	41.278
MK524508	48.056
MK524505	41.907
MK524504	112.884
MK524488	54.611
MK524485	54.464
MK501730	48.905
MK501729	52.024
MK433275	50.531
MK433274	51.954
MK433272	65.218
MK433267	77.511
MK433265	75.285
MK433264	55.829
MK433263	77.553
MK433261	77.513
MK450422	156.319
MK359318	156.374
MK392367	42.595
MK359366	154.283
MK359365	154.593
MK359364	154.397
MK359363	154.456
MK359362	154.553
MK359361	155.951
MK359359	158.508
MK359358	155.7
MK359355	156.06
MK359353	155.658
MK359350	156.342
MK359349	156.926
MK359348	155.955
MK359347	157.399
MK359346	151.1
MK359345	153.772
MK359344	154.072
MK359342	154.471
MK359339	155.256
MK359338	154.553
MK359337	152.593
MK359336	154.283
MK359335	155.47
MK359334	155.127
MK359333	154.933
MK359330	156.068
MK359329	156.36
MK359328	157.365
MK359327	155.601
MK359326	155.256
MK359324	154.584
MK359321	155.06
MK359317	154.543
MK359314	155.005
MK359313	46.463
MK359311	155.433
MK359308	155.596
MK359306	155.55
MK359305	155.389
MK359303	154.529
MK359302	76.485
MK310144	71.059
MK310143	153.582
MK310138	61.03
MK460247	59.504
MK460246	62.293
MK450436	73.353
MK450435	73.453
MK450434	156.574
MK450432	154.553
MK450430	73.511
MK450429	154.734
MK450428	73.583
MK450427	155.007
MK450425	156.606
MK450424	154.855
MK450423	153.369
MK305892	64.827
MK376962	67.662
MK376960	66.935
MK376959	93.276
MK376957	61.343
MK376956	92.688
MK376955	62.558
MK376954	64.214
MK376953	60.218
MH825713	154.764
MK284520	52.632
MK279912	46.221
MK279911	46.221
MK279905	73.639
MK279853	88.97
MK279849	111.97
MK279848	46.784
MK279842	65.38
MK112547	51.628
MK112533	157.364
MK112534	155.885
MK112537	59.708
MK112541	155.784
MK112545	155.251
MK112548	154.462
MK112549	155.131
MK112554	153.817
MK061410	46.772
MK061407	65.529
MK061406	51.827
MH976515	76.358
MH910042	62.306
MH910040	156.554
MH910039	62.437
MH910038	62.515
MK016503	60.311
MK016499	47.612
MK016492	52.089
MH926059	71.199
MH926058	54.601
MH926055	43.575
MH727543	155.886
MH834601	58.078
MH834600	72.81
MH727558	156.61
MH825697	154.722
MH779511	75.44
MH779510	68.205
MH779508	67.47
MH779504	56.214
MH779502	154.658
MH779501	68.19
MH779499	68.626
MH779498	153.796
MH744425	74.392
MH744424	66.808
MH744422	156.288
MH727562	64.911
MH727559	75.307
MH727553	64.834
MH727552	67.802
MH727551	110.713
MH727547	67.773
MH727545	58.129
MH727544	59.708
MH697590	155.959
MH697586	155.217
MH651185	53.085
MH651182	75.813
MH651176	55.668
MH651171	61.395
MH651167	50.97
MH651166	59.215
MH669017	111.74
MH669013	67.359
MH669008	154.78
MH669007	64.37
MH669000	58.301
MH697593	44.205
MH697592	59.925
MH697587	81.036
MH697585	43.697
MH697583	113.536
MH697582	111.924
MH697579	160.33
MH697578	59.708
MH697576	44.333
MH590593	154.861
MH590603	90.49
MH576976	75.345
MH576973	70.183
MH576969	49.729
MH576966	63.874
MH576960	64.105
MH513979	52.488
MH513977	60.055
MH536824	67.081
MH536822	59.837
MH536821	59.708
MH536819	64.104
MH536818	52.531
MH536812	52.195
MH509444	59.906
MH479923	81.834
MH479915	46.728
MH399772	110.169
MH399770	56.454
MH371113	60.494
MH316567	155.006
MH316561	156.199
MH271318	43.758
MH271305	44.924
MH271295	46.653
MH155867	46.717
